,review,date,stars,location,en
10,"Hezké místo, ale pod těžkým vlivem ochránců přírody, kteří s opičí láskou přistupují k její ochraně. Rozšiřující se zákazy vstupu s nevzhlednými ocelovými lanky vymezují zónu pohybu, takže nejzajímavější výhledy z Děvína nebo Martinky už neuvidíte. Na zříceninu Děvičky vybírají vstupné, časy se mění.",před rokem,4 hvězdičky,Pálava,"A nice place, but under the severe influence of nature conservationists who treat monkey love to protect it.The expanding bans of the entry with unsightly steel cables define the movement zone, so you will not see the most interesting views from Děvín or Martinka.They choose admission for the ruins, times change."
11,"Dominanta Jižní Moravy, kterou nepřehlédnete i když jste desítky kilometrů daleko. Mimo charakteristickou trojici kopců zahrnuje velmi rozmanitou krajinu plnou živé přírody, vinařství a malebných vesniček. Rozhodně doporučuji navštívit každému milovníku vína a přírody.",před 10 měsíci,5 hvězdiček,Pálava,"The dominant feature of South Moravia, which you will not miss even if you are tens of kilometers away.In addition to the characteristic three hills, it includes a very diverse landscape full of living nature, winery and picturesque villages.I definitely recommend visiting each wine and nature lover."
12,"Západ slunce nad Mikulovem zámek,a z druhé strany  východ měsíce,souhra ,,perfektní",před 8 měsíci,5 hvězdiček,Pálava,"Sunset over Mikulov chateau, and from the other side of the East of the Moon, interplay ,, perfect"
13,"Pálava je jedinečnou částí jižní Moravy a kdo ji chce poznat musí si ji celou přejít. Jen tak může poznat a cítit sedo této jedinečné krajiny. Bílé vápencové skály člení protáhlý hřbet na několik jakoby samostatných částí. Uprostřed toho je zřícenina hradu Sirotčí hrádek. Osobně mám nejraději Stolovou horu s jejím stepní charakterem, květinami, pokřivenými kmeny stromů a výhledy na Mikulov  a Svatý kopeček.",před 5 lety,5 hvězdiček,Pálava,"Pálava is a unique part of South Moravia and who wants to get to know it must go through it.Only in this way can he know and feel the sitting of this unique landscape.White limestone rocks are divided by an elongated back into several separate parts.In the middle of it is the ruins of the castle orphan's castle.Personally, I prefer a table mountain with its steppe character, flowers, distorted trunks of trees and views of Mikulov and Holy Kopeček."
14,"Nádherná příroda, výhledy i dobře značené  a zajímavé turistické  trasy.  V létě  nezapomenout repelent,  bo komár a klíšťata jsou tu ""doma""!!!",před rokem,5 hvězdiček,Pálava,"Beautiful nature, views and well -marked and interesting hiking trails.In the summer do not forget the repellent, bo mosquitoes and ticks are here ""at home"" !!!"
15,"Krasna priroda,doporucuji projet na kole",před 2 týdny,5 hvězdiček,Pálava,"Beautiful natural, I recommend riding a bike"
16,Nádherná příroda nádherné počasí Placený vstup na Děvičky ale my tam byli tak brzo že tam nikdo nebyl. Jen 3 turisti v 6 ráno ❤️☀️🥢 Viděli jsme hromadu zvířátek 🐌🐌🐌🐛🦋🐝🐞🦎🐀🦅🐜🦗 u vysílače  je milion 🪰 😁 Určitě doporučuji navštívit,před rokem,5 hvězdiček,Pálava,Beautiful nature beautiful weather paid to the girls but we were there so soon that no one was there.Only 3 tourists at 6 in the morning ❤️☀️🥢 We saw a lot of animals 🐌🐌🐌🐛🦋🐝🐞🦎🐀🦅🐜🦗 at the transmitter is a million 🪰 😁 I definitely recommend visiting
17,"Procházku v délce cca 10 km jsme podnikli z parkoviště z Klentnice, pokračovali jsme po modré turistické značce ke zřícenině hradu Děvičky a zpátky po červené turistické značce přes Děvín na parkoviště v Klentnici. Po cestě jsou vyhlídky nejen ze zřícenin, ale také ze skalních vyhlídek nebo vyhlídkových míst. Výlet jsme uskutečnili v zimě. Cesta byla místy kluzká, takže obezřetnost byla na místě, zejména na zříceninu hradu Děvičky. Bylo to docela zajímavé.🙂 Výlet bych určitě doporučila 👍",před 2 lety,5 hvězdiček,Pálava,"We took a walk of about 10 km from the parking lot from Klentnice, continued along the blue hiking trail to the ruins of Děvičky Castle and back along the red hiking trail through Děvín to the parking lot in Klentnice.Along the way there are prospects not only from the ruins, but also from rocky prospects or outlook sites.We made a trip in winter.The journey was slippery in places, so caution was in place, especially the ruins of the Castle Děvičky.It was quite interesting. I would definitely recommend the trip 👍"
18,"Byli jsme v oboře Klentnice a nádhera! Daňci, ptáci, brouci i hovniválové. 😉👍 A hlavně nikde nikdo... …",před 11 měsíci,5 hvězdiček,Pálava,"We were in the Obora Klentnice and the splendor!Fallow deer, birds, beetles and stalls.😉👍 And especially nobody ...……"
19,"Krásný kraj,  obdivuji malé vinaře kteří tomu svému vinohradu dávají vše,  aby nám poskytli kvalitní vina.",před měsícem,5 hvězdiček,Pálava,"Beautiful region, I admire small winemakers who give their vineyard everything to give us good guilt."
20,"Zbožňuju to tady! Nádherná krajina plná vinohradů, spousta krasných míst, jezdíme sem často a pořád je co objevovat!",před rokem,5 hvězdiček,Pálava,"I love it here!Beautiful landscape full of vineyards, lots of beautiful places, we come here often and there is still something to discover!"
21,"Jižní Morava je prostě nádherná, na 1.máje jsme si výšlaply z Klentnice na Děvíčky , trasa po modré tam byla v pohodě, zpět jsme šli po červené a proklínala mne celá rodina 😁prudké stoupání až vysílači ale ten výhled stál za to. To naše moře a Vinohrady 😀jen doporučuji si vzít sebou dost pití a jídla, protože si nikde nic nekoupíte, krom vínečka, ale to děti nemůžou.",před 5 lety,5 hvězdiček,Pálava,"South Moravia is simply beautiful, at the 1st we were at the age of Klyntnice to the girls, the route on the blue there was fine, we went back on the red and cursed the whole family 😁Prudky climbing to the transmitter but the view was worth it.Our sea and vineyards 😀 I recommend taking enough drinks and food, because you can not buy anything except wine, but children can not."
22,"Moc hezké místo naší země. Příroda, spousta památek a zajímavých míst. Ideální pro cykloturistiku. Velké množství ubytovacích kapacit. Jen si vybrat dle náročnosti. Týden je určitě málo k poznání zdejšího kraje, ale prožijete tady moc pěknou dovolenou.",před 4 lety,5 hvězdiček,Pálava,"Very nice place of our country.Nature, lots of monuments and interesting places.Ideal for cycling.A large number of accommodation capacities.Just choose according to the difficulty.The week is certainly little to know the local region, but you will experience a very nice holiday here."
23,"Moje srdeční záležitost. Toulám se tady několikrát do roka. Je to místo, kde dobíjím energii a budu se sem vždy rád vracet. Nejkrásnější je Pálava na jaře, kdy na svazích kvetou fialové a žluté irisy, koberce hluchavek nachových, hlaváček jarní, violka trojbarevná a spousta dalších květů.... A pod Pálavou je nejlépe v září, když zrají vinohrady. Tohle místo opravdu doporučuji každému...",před 3 lety,5 hvězdiček,Pálava,"My heart matter.I wander here several times a year.It is a place where I recharge my energy and I will always like to come back here.The most beautiful is the Pálava in the spring, when purple and yellow Irisy bloom on the slopes, the rugs of the purge of the purple, the spring, the violka three -color and many other flowers .... And under Palava is best in September when vineyards mature.I really recommend this place to everyone ..."
24,"Pálava je unikát v rámci celé České republiky, celý masiv s vápencovými skalami, skalní stepí i zelení překypujícími lesy je klenotem v jinak rovinaté krajině jižní Moravy. Nádherný kraj který stojí za poznání na kole i pěšky.",před 5 lety,5 hvězdiček,Pálava,"Pálava is unique throughout the Czech Republic, the whole massif with limestone rocks, rock steppes and greenery by overflowing forests is a jewel in the otherwise flat landscape of South Moravia.Beautiful region, which is worth knowing on the bike and on foot."
25,"Krásné a jedinečné místo v České republice. Nikde jinde jsem něco podobného neviděl. Jsem zvyklý na husté jehličnaté lesy a toto je takový zavan Středomoří. Krásné scenérie, skály, strmé kopce, hrady, krásní motýly, vinice, výhledy.",před 6 lety,5 hvězdiček,Pálava,"Beautiful and unique place in the Czech Republic.I haven't seen anything like this anywhere else.I am used to dense coniferous forests and this is such a Mediterranean.Beautiful scenery, rocks, steep hills, castles, beautiful butterflies, vineyards, views."
26,Nádherná podzimní příroda přivítá každého návštěvníka. Energie tohoto místa nabíjí každého příchozího. Neznám krásnější místo na jihu Moravy.,před 2 lety,5 hvězdiček,Pálava,Beautiful autumn nature will welcome every visitor.The energy of this place charges every incoming.I do not know a more beautiful place in the south of Moravia.
27,"Krásná procházka přes Pálavu. Vždycky jdeme z Pavlova přes Děvičky, vrchol po červené a zpět buď severní stranou po zelené nebo jižní stranou po modré. Severní strana je členitější s občasnými výhledy na mušovské rybníky. Jižní strana je zas jednodušší po rovince lesem s krásnými pohledy na pálavské skály.",před 3 lety,5 hvězdiček,Pálava,"Beautiful walk through Pálava.We always walk from Pavlov across the Děvičky, the peak on the red and back either the northern side on the green or the south side along the blue.The north side is more rugged with occasional views of Mušov ponds.The south side is easier on the straight forest with beautiful views of the Pálava Rocks."
28,"Celkově krásné misto,,tady není co vytknout",před 8 měsíci,5 hvězdiček,Pálava,"Overall beautiful place ,, here there is nothing to reproach"
29,Krásných výhledů na vodní dílo Nové Mlýny se člověk nemůže dosyta nabažit. Zvolena cesta je celkem náročná avšak výhledy stojí za to.,před 4 lety,5 hvězdiček,Pálava,Beautiful views of the new mill water work cannot get enough.The road is quite demanding but the views are worth it.
30,Moc hezké skály. A krásné jednodenní lezení. Dokonce i malá vícedélka se tu našla. Přišli jsme sem před devátou a nikdo na skalách nebyl. Klid a pohoda. Parkovat se dá na docela velkém parkovišti v Horních Věstonicích. Popřípadě je pár menších parkovacích stání ještě blíže ke skalám.,před 3 lety,5 hvězdiček,Pálava,"Very nice rocks.And beautiful one -day climbing.Even a small multi -order was found here.We came here before nine and no one was on the rocks.Peace and quiet.You can park in a pretty large parking lot in Horní Věstonice.Alternatively, there are a few smaller parking spaces even closer to the rocks."
31,Najdete tu krásné turistické stezky a z vrcholku jsou nádherné výhledy 😊😇 …,před 9 měsíci,5 hvězdiček,Pálava,You will find beautiful hiking trails and from the top are beautiful views 😊😇…
32,"Tady to je prostě balzám na duši.... Krásná příroda, protkaná vinicemi... Jezdím zde několik desítek let a vždy se na Pálavu těším....",před 2 lety,5 hvězdiček,Pálava,"Here it is simply a balm for the soul .... beautiful nature, interwoven with vineyards ... I go here for several decades and I always look forward to Pálava ...."
33,"Jedna z mnoha krásných krajin naší zemičky, jen je tu přeci jenom několikanásobně větší počet míst k poměru rozlohy krajiny k obdivování a užívání si.",před 4 lety,5 hvězdiček,Pálava,"One of the many beautiful landscapes of our country, but there is only a few times the number of places to ratio of the landscape to admire and enjoy."
34,Jedno z nejůžasnějších míst pro rodinný výlet na Jižní moravě. Ideálně dopoledne na Pálavu a potom do aquaparku v Pasohlávkách. Cesta ke zřícenině hradu je celkem nenáročná. Na jaře lemována množstvím kvetoucích rostlin a hlavně máte úžasný výhled na okolní krajinu.,před 5 lety,5 hvězdiček,Pálava,One of the most amazing places for a family trip in South Moravia.Ideally in the morning on Pálava and then to the aquapark in Pasohlávky.The road to the ruins of the castle is quite easy.In the spring lined with a number of flowering plants and most importantly you have an amazing view of the surrounding landscape.
35,"Krása, krása a krása. Pěkná krajina, super procházka, ale ten výhled kolem a na nádrž je je fakticky úžasný.",před rokem,5 hvězdiček,Pálava,"Beauty, beauty and beauty.Nice landscape, super walk, but the view around and the tank is in fact amazing."
36,"Krásná příroda, počasí víno ženy co více si přát",před rokem,5 hvězdiček,Pálava,"Beautiful nature, weather wine women what more do you want"
37,"Zámek tyčící se pod svatým kopečkem s nádhernou zahradou. Nabízejí zde prohlídkový okruh i vyhlídkovou věž. Na svatý kopeček se jde po křížové cestě s kapličkami, z nichž některé jsou přímo ve skále.",před 6 lety,5 hvězdiček,Pálava,"Castle towering under Svatý Kopeček with a beautiful garden.They offer a tour and sightseeing tower.The Holy Kopeček goes along the Stations of the Cross with chapels, some of which are directly in the rock."
38,"Nebudu hodnotit prohlídkové okruhy, ale musím komentovat zázemí: Pro invalidní nebo méně pohyblivé návštěvníky je zámek vyloženě nevyhovující. WC fungují po vhození obnosu 10 Kč a to jen v 5 nebo 10 korunových mincí-tzn. drobné do kapsy! A na tolik návštěvníků dost slabý počet... Občerstvení je trochu vyšší cenová kategorie a přijímají jen hotovost, terminál nefungoval. Značení okruhů a pokladny je nepřehledné a vyznat se, chce dost fantazie. A všude všude,  všude samý kolista 🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲",před 3 lety,3 hvězdičky,Pálava,"I will not evaluate sightseeing circuits, but I have to comment on the background: for disabled or less moving visitors, the castle is downright unsatisfactory.The toilet operates 10 CZK after throwing the amount of CZK 10 or 10 koruna coins.Small in your pocket!And so many visitors quite weak number ... refreshments are a bit higher price category and accept only cash, the terminal did not work.The marking of the circuits and the cash register is confusing and confess, wants enough imagination.And everywhere everywhere, everywhere kolista 🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲 🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲🚲"
39,"Malý, ale nádherný skvost přírody Jižní Moravěnky,v každém ročním období. Přes vrchol, zleva, zprava(myšleno od D.Věstonic) samé krásné trasy, na procházku hezkou přírodou.",před 5 lety,5 hvězdiček,Pálava,"A small but beautiful gem of nature of South Moravia, in every season.Over the summit, from the left, from the right (meant from D.Věstonic) all beautiful routes, for a walk through nice nature."
40,To se musí vidět na vlastní oči. Krásný výhled na kaskádu Nové Mlýny i vinice z Děvičky.,před 2 lety,5 hvězdiček,Pálava,This must be seen with their own eyes.Beautiful view of the cascade of Nové Mlýny and vineyard from Děvička.
41,"Nádherná krajina, spousta pěkných cyklostezek, památek, dobrých sklípků, s pohodovými lidmi.",před rokem,5 hvězdiček,Pálava,"Beautiful landscape, lots of nice cycle paths, monuments, good cellars, with relaxed people."
42,"Naprosto úžasné nejmenší pohoří na Moravě.Doporučuji výlet z Mikulova do Dolních Věstonic,kdy procházíte vinicemi,jdete před zříceniny hradů,prakticky za 15 km přejdete celé ""pohoří"".",před 2 lety,5 hvězdiček,Pálava,Absolutely amazing smallest mountains in Moravia.
43,"Procházka z Kletnice kolem vinic na Dívčí hrady, cestou zpět na Děvín a do Kletnice.  Počasí vyšlo, tak co si více přát.",před 3 lety,4 hvězdičky,Pálava,"Walk from Kletnice around the vineyards to girls' castles, on the way back to Děvín and Kletnice.The weather came out, so what more could you want."
44,"Krásná krajina, která nikdy nezklame. Každý si najde to své, co ho nutí zas a zas se znovu vrátit.",před 2 lety,5 hvězdiček,Pálava,"Beautiful landscape that never disappoints.Everyone will find their own, which forces him again and returns again."
45,"S výpravou jsme došli na Dívčí Hrádek na Pálavě. Výhled krásný, po cestě kytičky a brouci. Výstup je ale poměrně dlouhý a do kopce, nedoporučuji pro menší děti a starší osoby.",před 4 lety,4 hvězdičky,Pálava,"With the expedition we reached the girls' castle in Pálava.View beautiful, along the way of flowers and beetles.But the output is relatively long and uphill, I do not recommend for smaller children and older people."
46,"Je to krásný kus naší země a rádi sem jezdíme. S rodinou jsme sem zavítali v době vinobraní a byl to krásný zážitek. Mikulov je v pořádání těchto akcí naprosto top. Návštěvu, doporučuji i mimo pořádané akce.",před 5 lety,5 hvězdiček,Pálava,"It's a beautiful piece of our country and we like to come here.My family and I came here at the time of the vintage and it was a beautiful experience.Mikulov is absolutely top in organizing these events.Visit, I recommend outside the organized events."
47,"Pro mě nejkrásnější místo v naší už tak malebné zemi, krásná příroda, panoramata, památky a bez těch fajn lidi by to také nebylo ono. Tady ten čas prostě jen tak plyne",před 5 lety,5 hvězdiček,Pálava,"For me the most beautiful place in our already picturesque country, beautiful nature, panoramas, monuments and without the nice people it wouldn't be it either.This time just passes that time"
48,"Krásná krajina s nenáročným terenem a stezkami, poskytuje okouzlující výhledy na celou oblast Pálavy.",před 4 lety,5 hvězdiček,Pálava,"Beautiful landscape with undemanding terrain and trails, provides charming views of the whole area of ​​Pálava."
49,"Naše expedice začala na autobusové zastávce v Horních Věstonicích, odkud jsme se vydali do kopce okolo památného kostela sv. Michala a stoleté lípy a napojili jsme se na naučnou stezku Děvín, odkud jsme se vydali směrem k naší první zastávce Pod Martinkou. Cesta k ní vedla lesem po zelené turistické značce a byla dlouhá okolo 1,5 kilometru. Po cestě byla možnost udělat zastávku na lavičce s krásným výhledem na Horní Věstonice a vodní nádrž Nové Mlýny a u samotné zastávky bylo možné vyšplhat do kopce nahoru k Obřímu kameni. Odtud jsme pokračovali 1,3 kilometrů stále po zelené turistické značce k rozcestníku Nad Soutěskou a odtud stále z kopce po zelené až k úpatí kopce. Zde byla možnost zastavit se v krytém přístřešku s lavičkami a stoly a popřípadě se naobědvat či nasvačit před nadcházejícím výšlapem. Napojili jsme se na Svatojakubskou cestu, tentokrát po červené turistické značce, a začali jsme stoupat po schodech nahoru k Vyhlídce Strážce. Cesta k ní byla sice dlouhá “jen” 450 metrů, ale oproti předešlým úsekům měla o dost výraznější převýšení.  Poté jsme pokračovali 1,3 km po hřebenu kopce okolo Děvínského rozcestí, kde je možné obejít celý vrchol kopce po několika vyhlídkách jako je například Vyhlídka pod vysílačem a je také možné vyšlapat nahoru k samotnému vysílači, odkud je za krásného počasí náležitý rozhled po okolní krajině a může také posloužit jako odpočinkové místo před závěrečným sestupem. Od vysílače jsme tedy začali sestupovat stále po Svatojakubské cestě asi 450 metrů směrem rozcestí Dívčí hrad sedlo odkud jsme následně ušli 200 metrů vyšlapali malé převýšení i na samotnou zříceninu hradu Děvičky, kde jsme našli několik stolů a laviček a opět krásný výhled na okolí Pálavy. Poté jsme už pouze sestupovali dále po Svatojakubské cestě asi 1 kilometr lesem, podél vinic a posledního zastávkového místa u sochy anděla do Dolních Věstonic. Po celou dobu cesty bylo po trase rozmístěno několik edukačních tabulí. Poté jsme už pouze sestupovali dále po Svatojakubské cestě a následně po Archeostezce Dolní Věstonice - Pavlov asi 1 kilometr lesem, podél vinic a okolo předposledního zastávkového místa sochy Anděla do Dolních Věstonic. Zde jsme noc strávili v jednom z mnoha kempů hned u vody a druhý den jsme se odtud vydali ještě k poslednímu cíli naší cesty, a to přesněji do Archeoparku v Pavlově, který se stal krásným vzdělávacím zakončením naší trasy. Nakonec nás už čekala pouze závěrečná 3 kilometrová cesta opět po Archeostezce Pavlov - Dolní Věstonice přes les a podél krásných pálavských vinic znovu do Dolních Věstonic, kde byla naše výprava úspěšně zakončena.  Po celou dobu cesty bylo po trase rozmístěno několik edukačních tabulí a v okolí cesty byl nespočet vyhlídek a možností na posezení což odlehčilo celkové náročnosti této trasy. Tuto trasu určitě doporučujeme lidem co rádi chodí přírodou a rádi se dozvídají něco nového, a i přes některé strmější výšlapy do kopce se dá cesta s dostatkem přestávek a času na vydýchání a posezení nakonec zvládnout. Kromě dobré obuvi a dostatku občerstvení a pití s sebou určitě vezměte dobrou náladu a připravte se na krásný výlet po Pálavské krajině, na který určitě jen tak nezapomenete.",před 2 lety,4 hvězdičky,Pálava,"Our expedition started at the bus stop in Horní Věstonice, where we went uphill around the memorial church of St.Michael and the centuries -old linden and we joined the Děvín nature trail, from where we went towards our first stop under Martinkou.The road to it led through the forest along the green hiking trail and was about 1.5 kilometers long.Along the way, there was a stop on the bench with a beautiful view of Horní Věstonice and the Nové Mlýny reservoir and at the stop itself it was possible to climb uphill up to the giant stone.From there we continued 1.3 kilometers along the green hiking trail to the signpost above the gorge and from there still from the hill along the green to the foot of the hill.There was the opportunity to stop in a covered shelter with benches and tables and possibly to lunch or snap before the upcoming hike.We joined the St. James road, this time along the red hiking trail, and we started climbing the stairs up to the guard's viewpoint.The road to it was a long ""only"" 450 meters, but compared to the previous sections had a much more pronounced elevation.Then we continued 1.3 km along the ridge of the hill around the Děvínský crossroads, where it is possible to bypass the entire peak of the hill after several views such as the viewpoint under the transmitter and it is also possible to climb up to the transmitter itself, where in beautiful weather is appropriate view of the surrounding landscapeAnd it can also serve as a relaxing place before the final descent.From the transmitter we started to descend around the St. James road about 450 meters towards the crossroads Girl Castle Sedlo from where we walked 200 meters climbed a small elevation even to the ruins of the castle Děvičky, where we found several tables and benches and again beautiful views of Pálava.Then we just descended further along the St. James road about 1 kilometer through the forest, along the vineyards and the last stop of the statue of the angel to Dolní Věstonice.Several educational boards were placed along the route throughout the journey.Then we only descended further along the St. James road and then along the Archorosk of Dolní Věstonice - Pavlov about 1 kilometer through the forest, along the vineyards and around the penultimate stop of the statue of the angel to Dolní Věstonice.Here we spent the night in one of the many camps by the water and the next day we went from there to the last goal of our journey, more precisely to the Archeopark in Pavlov, which became a beautiful educational end of our route.In the end, only the final 3 -kilometer journey awaited us again after Archor Pavlov - Dolní Věstonice through the forest and along the beautiful Pálava vineyards again to Dolní Věstonice, where our expedition was successfully finished.Several educational boards were placed along the route throughout the journey, and there were countless prospects and the possibilities for sitting around the road, which relieved the overall difficulty of this route.We definitely recommend this route to people who like to go through nature and like to learn something new, and despite some steep hikes uphill, you can make a way with plenty of breaks and time to breathe and sit.In addition to good shoes and plenty of snacks and drinks, be sure to take a good mood with you and prepare for a beautiful trip on the Pálava landscape, which you will certainly not forget."
50,Krásný kousek naší země. Na jaře téměř bez lidí!,před rokem,5 hvězdiček,Pálava,Beautiful piece of our country.In the spring almost without people!
51,"Úžasné místo, moc ráda se na procházky tímto krajem těším. Má svoje kouzlo a ještě jako bonus dobré víno :-)",před 5 lety,5 hvězdiček,Pálava,"Amazing place, I like to look forward to walking through this region.It has its charm and as a bonus good wine :-)"
52,"Nádherná příroda, přehrada, vinice, kopce, sklípky, úzké uličky, domy porostlé vínem... Připadali jsme si jako v Itálii. Chci tam bydlet :-)",před rokem,5 hvězdiček,Pálava,"Beautiful nature, dam, vineyards, hills, cellars, narrow streets, houses covered with wine ... We felt like in Italy.I want to live there :-)"
53,"Pálava je vždy krásná, kraj plný vína a vůně moře.",před rokem,5 hvězdiček,Pálava,"Pálava is always beautiful, the region full of wine and the smell of the sea."
54,"Pratele, idealni k navsteve je podzim. Vsude krome vina i vyborny burcak. Z Mikulova do Pavlova se svezte busem a potom uz zacatek v Pavlove a nekterem sklipku jemne ochutnat dary zeme a vykrocit. Po zelene na Divci hrady, dale pak po cervene na Devin, sejit do Klentnice a znovu po cervene vyjit na Stolovou horu. Kolem Turoldu pak dojdete zpet do Mikulova. Nadherne vyhledy, louky i lesy, vinohrady, pohoda.",před 3 lety,5 hvězdiček,Pálava,"Pravel, ideal to visit is autumn.Apart from the blame and excellent Burcak.From Mikulov to Pavlov, take a bus and then start in Pavlova and some harvest gently taste the gifts and steal.After the green on the greenery castles, then after red to devin, go to Kltnice and again after red to go to the table mountain.Around Turold you will go back to Mikulov.Simply searchs, meadows and forests, vineyards, cool."
55,Nádherná příroda obklopená Vinohrady a Novomlýnskými nádržemi. Z určitých míst krajina připomíná tu chorvatskou.,před 5 lety,5 hvězdiček,Pálava,Beautiful nature surrounded by vineyards and Nové Mlýny reservoirs.From certain places the landscape resembles the Croatian.
56,My šli z Děviček po červené k Strážci a po zelené do Pavlova. Krásná procházka s mnoha výhledy a horskou krajinou.,před 5 lety,5 hvězdiček,Pálava,We went from the girls on the red to the guard and the green to Pavlov.Beautiful walk with many views and mountain landscape.
57,"Krásná příroda, úchvatné výhledy do krajiny z pavlovských vrchů",před rokem,5 hvězdiček,Pálava,"Beautiful nature, breathtaking views of the landscape from the Pavlov Hills"
58,"Pálava je vždy nádherná. Zvláště pak na konci léta či na podzim, kdy zraje víno, voní burčák a je krásně...",před 4 lety,5 hvězdiček,Pálava,"Pálava is always beautiful.Especially at the end of summer or autumn, when wine matures, smells half -fermented and is beautiful ..."
59,"Miluji zdejší oblast! Jezdím více než skoro 10let na kratší dovolenou. Prostě úžasné místo, úžasní lidé! Děkuji D.",před 4 lety,5 hvězdiček,Pálava,"I love the area!I run for more than almost 10 years on a shorter holiday.Just an amazing place, amazing people!Thanks: D."
60,Krásná krajina s vinohrady a hezké cyklotrasy.,před 9 měsíci,5 hvězdiček,Pálava,Beautiful landscape with vineyards and nice cycling routes.
61,"Pálava nikdy nezklame. I když leje zajděte do Archeoparku, Pasohlavek do aquaparku, plavba na lodi. Při krásném počasí není třeba komentáře ..... Léto u vody!",před 5 lety,5 hvězdiček,Pálava,"Pálava will never disappoint.Even if it pours to the archaeopark, the pimp to the aquapark, the boat cruise.In beautiful weather there is no need for comments ..... summer by the water!"
